Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,17.188000,17.188000,17.188000,17.188000,17.188000,47
2019-08-16,17.096001,17.096001,17.096001,17.096001,17.096001,0
2019-08-18,null,null,null,null,null,null
2019-08-19,16.914000,16.914000,16.914000,16.914000,16.914000,1
2019-08-20,17.065001,17.122000,17.065001,17.122000,17.122000,4
2019-08-21,17.125000,17.125000,17.120001,17.125000,17.125000,2
2019-08-22,17.014000,17.014000,17.014000,17.014000,17.014000,0
2019-08-23,17.395000,17.395000,17.395000,17.395000,17.395000,0
2019-08-25,null,null,null,null,null,null
2019-08-26,17.540001,17.624001,17.540001,17.624001,17.624001,4
2019-08-27,18.139000,18.139000,18.139000,18.139000,18.139000,2
2019-08-28,18.240000,18.304001,18.235001,18.304001,18.304001,97738
2019-08-29,18.299999,18.615000,17.985001,18.167000,18.167000,22272
2019-08-30,18.195000,18.410000,18.020000,18.184999,18.184999,1479
2019-09-01,null,null,null,null,null,null
2019-09-03,18.450001,19.225000,18.250000,19.079000,19.079000,828
2019-09-04,19.215000,19.540001,19.215000,19.391001,19.391001,462
2019-09-05,19.485001,19.485001,18.424999,18.656000,18.656000,386
2019-09-06,18.629999,18.684999,17.968000,17.968000,17.968000,343
2019-09-08,null,null,null,null,null,null
2019-09-09,18.205000,18.205000,17.950001,18.018999,18.018999,517
2019-09-10,17.770000,18.084999,17.770000,18.041000,18.041000,190
2019-09-11,18.065001,18.070000,18.030001,18.031000,18.031000,320
2019-09-12,18.070000,18.165001,18.030001,18.041000,18.041000,135
2019-09-13,18.004999,18.004999,17.405001,17.436001,17.436001,201
2019-09-15,null,null,null,null,null,null
2019-09-16,17.780001,17.900999,17.780001,17.900999,17.900999,40
2019-09-17,18.016001,18.016001,18.016001,18.016001,18.016001,99
2019-09-18,17.795000,17.795000,17.795000,17.795000,17.795000,4
2019-09-19,17.815001,17.815001,17.725000,17.773001,17.773001,135
2019-09-20,17.754999,17.950001,17.738001,17.738001,17.738001,53
2019-09-22,null,null,null,null,null,null
2019-09-23,18.215000,18.600000,18.209999,18.600000,18.600000,75
2019-09-24,18.520000,18.520000,18.517000,18.517000,18.517000,3
2019-09-25,18.570000,18.570000,17.962000,17.962000,17.962000,26
2019-09-26,17.910000,17.910000,17.801001,17.801001,17.801001,1389
2019-09-27,17.820000,17.830000,17.330000,17.552000,17.552000,227
2019-09-29,null,null,null,null,null,null
2019-09-30,17.495001,17.504999,16.898001,16.898001,16.898001,33
2019-10-01,16.924999,17.260000,16.924999,17.202000,17.202000,77
2019-10-02,17.174999,17.591999,17.155001,17.591999,17.591999,44
2019-10-03,17.504999,17.635000,17.450001,17.584999,17.584999,42
2019-10-04,17.440001,17.540001,17.320000,17.540001,17.540001,27
2019-10-06,null,null,null,null,null,null
2019-10-07,17.450001,17.530001,17.450001,17.457001,17.457001,8
2019-10-08,17.639999,17.639999,17.617001,17.617001,17.617001,2
2019-10-09,17.728001,17.750000,17.719999,17.728001,17.728001,4
2019-10-10,17.600000,17.600000,17.490000,17.520000,17.520000,2
2019-10-11,17.594999,17.594999,17.350000,17.462000,17.462000,5
2019-10-13,null,null,null,null,null,null
2019-10-14,17.525000,17.634001,17.525000,17.634001,17.634001,3
2019-10-15,17.455000,17.455000,17.308001,17.308001,17.308001,23
2019-10-16,17.219999,17.351000,17.174999,17.351000,17.351000,115
2019-10-17,17.299999,17.535999,17.299999,17.535999,17.535999,8
2019-10-18,17.469999,17.502001,17.465000,17.502001,17.502001,30
